en,cht,pos,description
Reaper of Secrets,葬祕者,變體,審判者變體
Infiltrator’s Mail,滲透者鱗甲,物品,MM
Deceiving,欺瞞,物品,護甲附魔
Soul-Piercing Gaze,透心凝視,能力,職業能力
Escape Route,確保退路,能力,職業能力
Mind-Game Tactics,攻心戰術,能力,職業能力
Shadow Strike,陰影奇襲,專長,APG
Infernal Cord,煉獄綁繩,物品,ISC
Lenses of the Bully,惡霸眼鏡,物品,AH
Bracers of the Avenging Knight,復仇騎士護腕,物品,UE
Charlatan’s Cape,騙子披風,物品,UE
Conductive,傳導,武器附魔,UE
Shattering Strike,粉碎擊,能力,職業能力
Overhand Chop,過肩斬,能力,職業能力
Weapon Versatility,萬用武器,專長,
Deific Obedience,神聖遵從,專長,
Highpier,上碼頭,地點,西冠城
Lowpier,下碼頭,地點,西冠城
Cape of Daring Deeds,大膽炫技斗篷,物品,ACG
Sweeping Disarm,橫掃卸武,專長,MAH
Disarming Strike,卸武重擊,專長,APG
Directed Disarm,定向卸武,專長,
Dodging Dance,閃避劍舞,能力,CoL
Master’s Mutation,召喚突變,法術,MSH
Herald Caller,令使呼喚者,职业,牧师变体
Warrior Priest,戰鬥祭司,專長,UM
Superior Summoning,超凡召喚,專長,UM
Sacred Summons,神聖召喚,專長,UM
Evolved Summoned Monster,進化召喚怪物,專長,MSH
Destructive Dispel,烈性解法,專長,UC
Dispel Focus,解法專攻,專長,MSH
Slipstream,水流術,法術,APG
Hag Magic,鬼婆魔力,能力,種族能力
Changeling,替換兒,種族,
Cinder Dance,灰燼之舞,能力,秘示域能力
Whimsy,怪誕,能力,怪誕秘示域
Adarshavir,阿達夏維爾,地點,失落的精靈要塞
Corset of Delicate Moves,精細行動胸衣,物品,MTT
Reinforced tunic,加固束腰外衣,,
Sneaky,鬼祟,武器附魔,ACG
Norgorber’s Silent Shiv,諾格巴之寂刃,專長,
Triple Time,三倍速,,
Butterfly Blade,蝴蝶劍,職業,殺手變體
Enforcer,脅迫者,專長,APG
Menacing,恐嚇,職業能力,遊俠流派
Sidestep Secret,閃避祕訣,職業能力,學識秘示域
Slums Spirit,陋巷魂域,職業能力,薩滿魂域
Ward of the City,城靈庇佑,職業能力,陋巷魂域
Doors to Everywhere,無界之門,職業能力,陋巷魂域
Automatic Writing,扶乩,職業能力,學識秘示域
Riversight,河流視域,法術,
Silent Table,隔音罩,法術,ACG
Spider-Silk bodysuit,蛛絲緊身衣,護甲,AA2
Gambeson,襯甲,物品,
Irongrip Gauntlets,鐵腕手甲,物品,
Skinwalker,獸化裔,種族,ISR
Fastidiousness,潔身術,法術,DD
Second Chance,反手一擊,專長,APG
Reliable Strike,穩準擊,職業能力,戰士變體能力
Vestments of War,戰爭法衣,物品,
Hamatulatsu Robe,刺魔法袍,物品,
Belier’s Bite,虛妄魔之咬,專長,
Sovereignty Subdomain,主宰子域,職業能力,
Ecclesitheurge,虔信聖使,變體,牧師變體
Hamatula Strike,尖刺魔之擊,專長,
Hamatula Grasp,尖刺魔之握,專長,
Bushwhack,樹叢伏擊,專長,
Body Shield,化敵爲盾,專長,UC
Pilfering Hand,第三隻手,法術,
"Inevitable, Arbiter",仲裁者,怪物,B2
Waterproof,防水術,法術,
True Appraisal,真鑑術,法術,
Familiar Bond,魔寵聯結,專長,
Grove of Respite,休憩之林,法術,APG
Optional Rule,可選規則,術語,
Space,佔據,術語,
Reach,觸及/長觸及,術語,武器特性時為長觸及
gaze,凝视,術語,
Gallant Inspiration,英勇启言,法术,APG
Restful,寧憩,防具附魔,ACG
Semi-Precious,亞寶石,術語,
Sheltering Stubborness,心如頑石,專長,
Bloodhound,尋血獵犬,法術,APG
Tekko-kagi,手甲鉤,物品,UE
Ioun Wyrd,艾恩魔晶,怪物,UW
Harlot Sweets,娼妓蜜糖,物品,毒品
Slaver’s Drops,奴役滴露,物品,毒品
Merciful Takedown,手下留情,專長,
Aura of the Unremarkable,尋常靈光,法術,
Run Like Hell,亡命狂奔,,
Ricochet Shot Deed,反彈射擊絕技,,
Sharp Shoot,精明射擊,,
Gunslinger’s Dodge,槍手閃避,,
Vigilant Loading,謹慎裝填,,
Shooter’s Resolve,射手的信念,,
Gunslinger Initiative,槍手先機,,
Pistol-Whip,槍托打擊,,
Distracting Shot,擾亂射擊,,
Dead Shot,神射一擊,,
Friendly Fire Maneuvers,火線協調,專長,
Crossbow Mastery,十字弓熟稔,專長,APG
Target of Opportunity,伺機射擊,專長,
Cavalier Orders,騎士團,能力,騎士職業能力
Patron,庇護主,能力,女巫職業能力
Battle Herald,戰陣先鋒,進階職業,APG進階職業
Horizon Walker,大地旅者,進階職業,APG進階職業
Holy Vindicator,神聖裁決者,進階職業,APG進階職業
Master Chymist,煉金大師,進階職業,APG進階職業
Master Spy,間諜大師,進階職業,APG進階職業
Nature Warden,自然守望者,進階職業,APG進階職業
Rage Prophet,怒火先知,進階職業,APG進階職業
Stalwart Defender,堅毅防衛者,進階職業,APG進階職業
Traits,背景特性,術語,
alternate racial trait,替代種族特性,術語,
Extract,化合煉成,術語,
Hex,巫術,能力,女巫職業能力
weapon blanche,武器塗層,物品,鍊金物品
Quieting Weapons,靜謐武器,法術,UI
False Alibi,虛假的不在場證明,,
Stalwart,堅毅,職業能力,審判者職業能力
Faerie Dragon,仙靈龍,,
Jinin,精瑛,,
Jininsiel,今夕,,
Painful Collision,痛苦碰撞,專長,
Chokehold,鎖喉,專長,
Grabbing Style,擒拿手,專長,
Branch Pounce,枝頭突襲,專長,UW
Accomplished Sneak Attacker,熟練偷襲者,專長,
Senzar,神知語,語言,
Blood Crystal,血晶,特殊材料,
Mindblade,念刃,變體,魔戰士變體
Spring-Heeled Style,疾掠式,專長,
Spring-Heeled Sprint,疾掠突進,專長,
Spring-Heeled Reaping,疾掠連擊,專長,
Strangler,扼喉者,專長,
Unbalancing Trick,失衡技巧,遊蕩者天賦,
Savage Slam,猛摔,專長,
Fortuitous,破則,武器附魔,
Headsman’s Blade,劊子手之刃,特殊武器,
Ears of the City,街談巷議,法術,
Nycar,雙爪蛇龍,怪物,B4
Aura of Doom,喪志靈光,法術,UM
Boneshaker,顫骨,法術,HA
Boneshatter,碎骨,法術,
Defile Armor,邪化護甲,法術,APG
Giant black widow,巨黑寡婦蛛,怪物,B1
Giant crab spider,巨蟹蛛,怪物,B2
Scarlet spider,猩紅蜘蛛,怪物,B3
Ogre spider,食人魔蛛,怪物,B4
Giant tarantula,巨狼蛛,怪物,B5
Goliath spider,歌利亞蛛,怪物,B6
Racial attitudes,種族傾向,術語,
Heart of the Fields,鄉野之民,特性,人類種族特性
Heart of the Streets,市井之民,特性,人類種族特性
Eye for Talent,伯樂慧眼,特性,人類種族特性
Ancient Enmity,遠古仇恨,特性,矮人種族特性
replace,取代,術語,各種變體中使用
Craftsman,工匠,特性,矮人種族特性
Deep Warrior,地底戰士,特性,矮人種族特性
Lorekeeper,紀言者,特性,矮人種族特性
Magic Resistant,魔法抗性,特性,矮人種族特性
Relentless,勢如破竹,特性,矮人種族特性
Stonesinger,詠石者,特性,矮人種族特性
Stubborn,頑固,特性,矮人種族特性
Snakebite Striker,蛇擊者,變體,拳師變體
Venomfist,毒拳,變體,拳師變體
Dreamspeaker,夢語者,特性,精靈種族特性
Eternal Grudge,永恆積怨,特性,精靈種族特性
Lightbringer,喚光者,特性,精靈種族特性
Silent Hunter,寂靜獵手,特性,精靈種族特性
Spirit of the Waters,水之靈性,特性,精靈種族特性
Woodcraft,森之理,特性,精靈種族特性
Academician,院士,特性,侏儒種族特性
Gift of Tongues,語言天賦,特性,侏儒種族特性
Magical Linguist,魔法語言學家,特性,侏儒種族特性
Master Tinker,修補大師,特性,侏儒種族特性
Pyromaniac,縱火狂,特性,侏儒種族特性
Warden of Nature,自然衛士,特性,侏儒種族特性
Ancestral Arms,先祖武器,特性,半精靈種族特性
Arcane Training,奧術訓練,特性,半精靈種族特性
Dual Minded,雙重心智,特性,半精靈種族特性
Integrated,入鄉隨俗,特性,半精靈種族特性
Sociable,善於交際,特性,半精靈種族特性
Water Child,水之子,特性,半精靈種族特性
Beastmaster,馴獸師,特性,半獸人種族特性
Bestial,獸性,特性,半獸人種族特性
Cavewight,穴居人,特性,半獸人種族特性
Chain Fighter,鎖鏈鬥士,特性,半獸人種族特性
Gatecrasher,破門者,特性,半獸人種族特性
Plagueborn,疫種,特性,半獸人種族特性
Rock Climber,攀岩者,特性,半獸人種族特性
Sacred Tattoo,聖化刺青,特性,半獸人種族特性
Scavenger,拾荒者,特性,半獸人種族特性
Toothy,獠牙,特性,半獸人種族特性
Craven,懦夫,特性,半身人種族特性
Low Blow,專攻下盤,特性,半身人種族特性
Outrider,開路騎兵,特性,半身人種族特性
Practicality,實用主義,特性,半身人種族特性
Swift as Shadows,疾如影,特性,半身人種族特性
Underfoot,足下黑,特性,半身人種族特性
Wanderlust,漫遊癖,特性,半身人種族特性
Warslinger,戰陣投石兵,特性,半身人種族特性
Heart of the Wilderness,荒野之民,特性,人類種族特性
Alahazra,阿拉哈札,角色,先知標誌角色
Alain,阿蘭,角色,騎士標誌角色
Mutagen,突變藥劑,職業能力,鍊金術士職業能力
Bomb,煉金炸彈,職業能力,鍊金術士職業能力
Infusion,灌注,科研發現,鍊金術士職業能力
Discovery,科研發現,職業能力,鍊金術士職業能力
Grand discovery,大科研發現,職業能力,鍊金術士職業能力
Swift Alchemy,快速鍊金,職業能力,鍊金術士職業能力
Instant Alchemy,即刻鍊金,職業能力,鍊金術士職業能力
Persistent Mutagen,持久突變,職業能力,鍊金術士職業能力
Acid bomb,強酸炸彈,科研發現,鍊金術士職業能力
Combine extracts,結合煉成,科研發現,鍊金術士職業能力
Concentrate poison,濃縮毒藥,科研發現,鍊金術士職業能力
Concussive bomb,震盪炸彈,科研發現,鍊金術士職業能力
Delayed bomb,延遲炸彈,科研發現,鍊金術士職業能力
Dilution,稀釋,科研發現,鍊金術士職業能力
Dispelling Bomb,解法炸彈,科研發現,鍊金術士職業能力
Elixir of life,生命靈藥,科研發現,鍊金術士職業能力
Enhance potion,增強藥水,科研發現,鍊金術士職業能力
Eternal potion,永恆藥水,科研發現,鍊金術士職業能力
Explosive bomb,高爆炸彈,科研發現,鍊金術士職業能力
Extend potion,延時藥水,科研發現,鍊金術士職業能力
Fast bombs,快速炸彈,科研發現,鍊金術士職業能力
Feral mutagen,野性突變藥劑,科研發現,鍊金術士職業能力
Force bomb,力場炸彈,科研發現,鍊金術士職業能力
Frost bomb,冰霜炸彈,科研發現,鍊金術士職業能力
Grand mutagen,大突變藥劑,科研發現,鍊金術士職業能力
Greater mutagen,高等突變藥劑,科研發現,鍊金術士職業能力
Infuse mutagen,灌注突變藥劑,科研發現,鍊金術士職業能力
Inferno bomb,煉獄炸彈,科研發現,鍊金術士職業能力
Smoke bomb,煙霧炸彈,科研發現,鍊金術士職業能力
Madness bomb,瘋狂炸彈,科研發現,鍊金術士職業能力
Poison bomb,毒氣炸彈,科研發現,鍊金術士職業能力
Precise bombs,精準炸彈,科研發現,鍊金術士職業能力
Shock bomb,電擊炸彈,科研發現,鍊金術士職業能力
Smoke bomb,煙霧炸彈,科研發現,鍊金術士職業能力
Sticky bomb,黏性炸彈,科研發現,鍊金術士職業能力
Sticky poison,黏性毒藥,科研發現,鍊金術士職業能力
Stink bomb,臭氣炸彈,科研發現,鍊金術士職業能力
Awakened Intellect,心智覺醒,科研發現,鍊金術士職業能力
Eternal Youth,青春永駐,科研發現,鍊金術士職業能力
Poison Touch,劇毒之觸,科研發現,鍊金術士職業能力
True Mutagen,完美突變藥劑,科研發現,鍊金術士職業能力
Ant Haul,重負術,法術,APG
Bomber’s Eye,投彈手之眼,法術,APG
Crafter’s Fortune,工匠機運,法術,APG
Keen Senses,敏銳感官,法術,APG
Negate Aroma,除味術,法術,APG
Stone Fist,石拳術,法術,APG
Touch of the Sea,海洋之觸,法術,APG
Alchemical Allocation,鍊金反芻,法術,APG
Elemental Touch,元素之觸,法術,APG
Fire Breath,火息術,法術,APG
Perceive Cues,明察秋毫,法術,APG
Transmute Potion to Poison,化藥爲毒,法術,APG
Vomit Swarm,嘔吐蟲群,法術,APG
Absorbing Touch,吸收之觸,法術,APG
Amplify Elixir,增效靈藥,法術,APG
Draconic Reservoir,龍能反衝,法術,APG
Elemental Aura,元素靈光,法術,APG
Seek Thoughts,探究思想,法術,APG
Thorn Body,荊棘之軀,法術,APG
Detonate,自爆術,法術,APG
Dragon’s Breath,龍息術,法術,APG
Fluid Form,流體形態,法術,APG
Universal Formula,萬用公式,法術,APG
Delayed Consumption,延效劑,法術,APG
Elude Time,時空斷流,法術,APG
Planar Adaptation,位面適應,法術,APG
Resurgent Transformation,絕處逢生藥,法術,APG
Twin Form,雙生形態,法術,APG
Order,騎士團,職業能力,騎士職業能力
Challenge,挑戰,職業能力,騎士職業能力
Banner,旗幟,職業能力,騎士職業能力
Greater Tactician,高等戰術,職業能力,騎士職業能力
Mighty Charge,強力衝鋒,職業能力,騎士職業能力
Expert Trainer,訓練專家,職業能力,騎士職業能力
Cavalier’s Charge,騎士衝鋒,職業能力,騎士職業能力
Demanding Challenge,強制挑戰,職業能力,騎士職業能力
Greater Banner,高等旗幟,職業能力,騎士職業能力
Master Tactician,戰術大師,職業能力,騎士職業能力
Supreme Charge,終極衝鋒,職業能力,騎士職業能力
wielded,持用,術語,
wield,持用,術語,
Braggart,吹噓武勇,職業能力,騎士團能力
Steal Glory,竊取榮耀,職業能力,騎士團能力
Moment of Triumph,勝利時刻,職業能力,騎士團能力
Order of the Dragon,巨龍道,職業能力,騎士職業能力
Aid Allies,協助盟友,職業能力,騎士團能力
Strategy,策略,職業能力,騎士團能力
Act as One,齊心協力,職業能力,騎士團能力
Lion’s Call,雄獅怒吼,職業能力,騎士團能力
For the King,為了吾王,職業能力,騎士團能力
Shield of the Liege,領主之盾,職業能力,騎士團能力
Resolute,堅定,職業能力,騎士團能力
Stem the Tide,力挽狂瀾,職業能力,騎士團能力
Calling,神聖感召,職業能力,騎士團能力
For the Faith,為了信仰,職業能力,騎士團能力
Retribution,懲戒,職業能力,騎士團能力
Order of the Sword,寶劍道,職業能力,騎士職業能力
By My Honor,以吾榮譽之名,職業能力,騎士職業能力
Mounted Mastery,騎術熟稔,職業能力,騎士職業能力
Knight’s Challenge,騎士挑戰,職業能力,騎士職業能力
Judgment,審判,職業能力,審判者職業能力
Exploit Weakness,洞穿要害,職業能力,審判者職業能力
Monster Lore,怪物學識,職業能力,審判者職業能力
Stern Gaze,嚴苛凝視,職業能力,審判者職業能力
Greater Bane,高等破敵,職業能力,審判者職業能力
Slayer,屠戮者,職業能力,審判者職業能力
True Judgment,最終審判,職業能力,審判者職業能力
save,豁免,術語,
Brand,烙印術,法術,APG
Sift,瞬察術,法術,APG
Burst Bonds,束縛爆破,法術,APG
Tireless Pursuit,追人不倦,法術,APG
Wrath,震怒,法術,APG
Confess,懺悔,法術,APG
Corruption Resistance,褻瀆抵抗,法術,APG
Flames of the Faithful,虔誠熾焰,法術,APG
Follow Aura,追蹤靈光,法術,APG
Ghostbane Dirge,鎮魂曲,法術,APG
Honeyed Tongue,甜言蜜語,法術,APG
Sacred Bond,神聖鏈接,法術,APG
Weapon of Awe,敬畏武器,法術,APG
Banish Seeming,祛除表象,法術,APG
Blood Biography,鮮血溯源,法術,APG
Cast Out,祓除,法術,APG
Coordinated Effort,協同行動,法術,APG
Fester,死疽,法術,APG
Hidden Speech,隱語術,法術,APG
Hunter’s Eye,獵手之眼,法術,APG
Retribution,報償,法術,APG
Righteous Vigor,義氣勃發,法術,APG
Ward the Faithful,信仰之衛,法術,APG
"Brand, Greater",高等烙印術,法術,APG
Coward’s Lament,懦夫之悲,法術,APG
Denounce,譴責,法術,APG
Forced Repentance,強制悔過,法術,APG
Rebuke,斥退,法術,APG
Shared Wrath,眾怒,法術,APG
Sleepwalk,夢遊,法術,APG
Tireless Pursuers,群追不捨,法術,APG
"Castigate, Mass",群體嚴厲斥責,法術,APG
"Ghostbane Dirge, Mass",群體鎮魂曲,法術,APG
Resounding Blow,轟鳴擊,法術,APG
Unwilling Shield,強迫護衛,法術,APG
Cleanse,清潔術,法術,APG
"Fester, Mass",群體死疽,法術,APG
Oracle’s Curse,先知詛咒,職業能力,先知職業能力
Clouded Vision,障目,職業能力,先知詛咒
Deaf,失聰,職業能力,先知詛咒
Haunted,作祟,職業能力,先知詛咒
Lame,跛足,職業能力,先知詛咒
Tongues,饒舌,職業能力,先知詛咒
Wasting,衰敗,職業能力,先知詛咒
Revelation,啓示,職業能力,先知職業能力
Final Revelation,最終啟示,職業能力,先知職業能力
Battle,戰鬥祕示域,祕示域,先知祕示域
Battlecry,戰吼,職業能力,戰鬥祕示域能力
Battlefield Clarity,戰陣清明,職業能力,戰鬥祕示域能力
Combat Healer,戰地醫師,職業能力,戰鬥祕示域能力
Iron Skin,精鐵肌膚,職業能力,戰鬥祕示域能力
Maneuver Mastery,戰技熟稔,職業能力,戰鬥祕示域能力
Skill at Arms,擅用武具,職業能力,戰鬥祕示域能力
Surprising Charge,奇襲突進,職業能力,戰鬥祕示域能力
War Sight,戰陣先覺,職業能力,戰鬥祕示域能力
Weapon Mastery,武器熟稔,職業能力,戰鬥祕示域能力
Bone,骸骨祕示域,祕示域,先知祕示域
Armor of Bones,白骨護甲,職業能力,骸骨祕示域能力
Bleeding Wounds,流血創傷,職業能力,骸骨祕示域能力
Death’s Touch,死亡之觸,職業能力,骸骨祕示域能力
Near Death,近死之人,職業能力,骸骨祕示域能力
Raise the Dead,喚起死者,職業能力,骸骨祕示域能力
Resist Life,阻斷生機,職業能力,骸骨祕示域能力
Soul Siphon,汲魂,職業能力,骸骨祕示域能力
Spirit Walk,靈界漫步,職業能力,骸骨祕示域能力
Undead Servitude,奴役死靈,職業能力,骸骨祕示域能力
Voice of the Grave,墓語,職業能力,骸骨祕示域能力
Flame,熾焰祕示域,祕示域,先知祕示域
Burning Magic,燃燒魔法,職業能力,熾焰祕示域能力
Fire Breath,火焰吐息,職業能力,熾焰祕示域能力
Firestorm,火焰風暴,職業能力,熾焰祕示域能力
Form of Flame,熾焰形態,職業能力,熾焰祕示域能力
Gaze of Flames,熾焰凝視,職業能力,熾焰祕示域能力
Heat Aura,熱力靈光,職業能力,熾焰祕示域能力
Molten Skin,熔岩肌膚,職業能力,熾焰祕示域能力
Fiery Body,烈火身軀,法術,APG
Touch of Flame,熾焰之觸,職業能力,熾焰祕示域能力
Wings of Fire,火之翼,職業能力,熾焰祕示域能力
Heavens,星空祕示域,祕示域,先知祕示域
Coat of Many Stars,群星罩袍,職業能力,星空祕示域能力
Awesome Display,星相宏圖,職業能力,星空祕示域能力
Dweller in Darkness,深空暗裔,職業能力,星空祕示域能力
Guiding Star,指路明星,職業能力,星空祕示域能力
Interstellar Void,星際虛空,職業能力,星空祕示域能力
Lure of the Heavens,星辰誘惑,職業能力,星空祕示域能力
Mantle of Moonlight,月華法衣,職業能力,星空祕示域能力
Moonlight Bridge,月光橋,職業能力,星空祕示域能力
Spray of Shooting Stars,流星迸發,職業能力,星空祕示域能力
Star Chart,星圖,職業能力,星空祕示域能力
Life,生命祕示域,祕示域,先知祕示域
Channel,引導,職業能力,生命祕示域能力
Delay Affliction,延緩苦難,職業能力,生命祕示域能力
Energy Body,能量之軀,職業能力,生命祕示域能力
Enhanced Cures,強化治療,職業能力,生命祕示域能力
Healing Hands,醫療聖手,職業能力,生命祕示域能力
Life Link,生命連結,職業能力,生命祕示域能力
Lifesense,生命感知,職業能力,生命祕示域能力
Safe Curing,安全治療,職業能力,生命祕示域能力
Spirit Boost,盈而不溢,職業能力,生命祕示域能力
Lore,學識祕示域,祕示域,先知祕示域
Arcane Archivist,奧術檔案員,職業能力,學識祕示域能力
Automatic Writing,扶乩,職業能力,學識祕示域能力
Brain Drain,腦力汲取,職業能力,學識祕示域能力
